Fish_ID,Year,Date,Species,TL_mm,Mass_g,Diet_Mass_g,GutFullness,Sex,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,prey_Amphipod,prey_Gammaracanthus.sp.,prey_Krill,prey_Fish,prey_Gammarus.sp.,prey_Copepod,prey_Onisimus.sp.,prey_Sand.lance,prey_Arctic.cod,prey_Digested,prey_Mysid,prey_Sea.Angel,prey_Jellyfish,prey_Algae,prey_Chironomid,prey_Undigestible,prey_Miscellaneous.Invert,prey_Themisto.sp.,prey_Miscellaneous
FH197,2017,8/16/17,Fourhorn,26.2,217.5,NA,2,F,13.9,21.8,NA,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FH20,2017,7/24/17,Fourhorn,22.2,99.8,NA,3,F,3.5,2,NA,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
FH21,2017,7/24/17,Fourhorn,16.5,46.2,NA,2,M,1.3,1.6,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FH22,2017,7/24/17,Fourhorn,20.7,74.2,NA,2,F,3.1,2.3,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FH221,2017,8/17/17,Fourhorn,21.2,NA,NA,2,F,2.2,1.4,NA,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
FH222,2017,8/17/17,Fourhorn,21.7,105.5,NA,4,F,4.7,6.6,NA,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FH223,2017,8/17/17,Fourhorn,20.1,73.8,NA,3,F,2.3,1.6,NA,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0
FH224,2017,8/17/17,Fourhorn,17.9,49.9,NA,4,F,1.1,0.9,NA,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
FH225,2017,8/17/17,Fourhorn,14,23.6,NA,3,F,0.6,NA,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
FH232,2017,8/18/17,Fourhorn,28.1,278.4,NA,3,F,17.8,24.5,NA,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
FH233,2017,8/19/17,Fourhorn,21.8,92.6,NA,2,M,1.3,5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH234,2017,8/19/17,Fourhorn,27.5,212.2,NA,2,F,10.5,15.4,NA,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
FH235,2017,8/19/17,Fourhorn,18.3,60.3,NA,4,M,0.8,2.6,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
FH236,2017,8/19/17,Fourhorn,23.3,93.3,NA,3,M,1.9,4.4,NA,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
FH237,2017,8/19/17,Fourhorn,24,103.9,NA,2,F,4.3,4.3,NA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
FH24,2017,7/25/17,Fourhorn,13.9,22.3,NA,1,M,0.3,0.2,NA,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
