"Fish_ID","Year","Date","Species","TL_mm","Mass_g","Diet_Mass_g","GutFullness","Sex","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g","prey_Amphipod","prey_Gammarus sp.","prey_Onisimus sp.","prey_Krill","prey_Digested","prey_Copepod","prey_Fish","prey_Mysid","prey_Gammaracanthus sp.","prey_Sea Angel","prey_Algae","prey_Chironomid","prey_Miscellaneous Invert","prey_Undigestible","prey_Miscellaneous"
"FH84",2017,2017-08-03,"Fourhorn",25.5,155.2,NA,2,"M",3.5,8.5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FH85",2017,2017-08-03,"Fourhorn",21,76.9,NA,3,"M",2.4,2.7,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FH86",2017,2017-08-03,"Fourhorn",22,84.8,NA,2,"M",2.4,2.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FH87",2017,2017-08-03,"Fourhorn",14.5,23,NA,2,"M",0.5,0.7,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"FH88",2017,2017-08-03,"Fourhorn",14.5,24.6,NA,2,"M",0.7,0.3,NA,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"FH93",2017,2017-08-05,"Fourhorn",9.4,5.9,NA,3,NA,0.2,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S1",2017,2017-07-24,"Slimy",14.2,42.4,NA,5,"M",1.4,0.5,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"S12",2017,2017-07-26,"Slimy",15.2,52.1,NA,3,"M",2,1.1,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"S13",2017,2017-07-26,"Slimy",16,59.2,NA,4,"F",2.7,1.9,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"S2",2017,2017-07-24,"Slimy",13.2,33.3,NA,4,"F",1.4,0.5,NA,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
"S22",2017,2017-08-02,"Slimy",14,18.3,NA,4,"F",0.6,0.3,NA,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"S23",2017,2017-08-02,"Slimy",11.4,6.7,NA,3,"M",0.3,NA,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"S24",2017,2017-08-03,"Slimy",17.7,69.7,NA,3,"F",3.5,2.3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"S25",2017,2017-08-03,"Slimy",17.7,73.7,NA,4,"F",3.8,3.7,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S26",2017,2017-08-03,"Slimy",16,59.7,NA,1,"F",3.3,1.9,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S27",2017,2017-08-03,"Slimy",17.7,80,NA,3,"F",3.6,3.1,NA,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
"S28",2017,2017-08-03,"Slimy",18,73.4,NA,3,"F",3,3.8,NA,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"S29",2017,2017-08-03,"Slimy",17.6,72.2,NA,4,"F",3.5,2.2,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0
"S3",2017,2017-07-24,"Slimy",4.2,0.8,NA,3,"I",NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S30",2017,2017-08-03,"Slimy",15.4,49.3,NA,4,"F",2.3,1.3,NA,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"S31",2017,2017-08-03,"Slimy",15.6,45.4,NA,4,"F",1.9,1.3,NA,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"S32",2017,2017-08-06,"Fourhorn",17.9,78.6,NA,5,"M",4.2,0.1,NA,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"S33",2017,2017-08-06,"Fourhorn",16,50.5,NA,5,"M",1.5,NA,NA,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"S34",2017,2017-08-09,"Slimy",17,62.5,NA,4,"M",3.1,1.7,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"S37",2017,2017-08-10,"Slimy",14.5,34.2,NA,4,"M",1,0.6,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"S38",2017,2017-08-12,"Slimy",12.5,21.8,NA,3,"M",0.7,NA,NA,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0
"S39",2017,2017-08-12,"Slimy",15.2,39.8,NA,3,"M",0.9,0.2,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
"S4",2017,2017-08-25,"Slimy",15.8,55.5,NA,3,"F",1.9,1.9,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"S40",2017,2017-08-12,"Slimy",14.4,35.2,NA,3,"F",0.8,0.7,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
"S41",2017,2017-08-12,"Slimy",14.8,43,NA,4,"F",1.3,0.9,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"S42",2017,2017-08-12,"Slimy",12.9,27.7,NA,3,"M",0.5,0.7,NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"S43",2017,2017-08-13,"Slimy",12,18.5,NA,4,"M",0.3,NA,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"S44",2017,2017-08-13,"Slimy",9.8,11.9,NA,2,"M",0.4,0.1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"S46",2017,2017-08-13,"Slimy",11.2,20.6,NA,5,"M",0.4,0.2,NA,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"S47",2017,2017-08-13,"Slimy",15.9,65.8,NA,5,"F",2.7,1.7,NA,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0
"S48",2017,2017-08-13,"Slimy",22.1,126.3,NA,2,"F",2.3,2.2,NA,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0
"S49",2017,2017-08-14,"Slimy",17.5,68.5,NA,5,"F",2.7,1.9,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"S5",2017,2017-08-25,"Slimy",14.5,43.7,NA,4,"M",1.1,0.4,NA,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"S50",2017,2017-08-15,"Slimy",17.4,78.7,NA,5,"F",2.4,2,NA,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0
"S59",2017,2017-08-16,"Slimy",14,37.7,NA,5,"F",0.4,0.5,NA,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"S6",2017,2017-08-25,"Slimy",14.6,42,NA,2,"F",1.3,0.9,NA,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"S62",2017,2017-08-17,"Slimy",12.9,30.2,NA,3,"M",1.2,0.2,NA,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"S63",2017,2017-08-18,"Slimy",16.5,58.2,NA,5,"M",0.8,0.1,NA,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"S64",2017,2017-08-18,"Slimy",13.5,31.4,NA,4,"M",0.7,0.1,NA,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"S65",2017,2017-08-18,"Slimy",14,29.8,NA,5,"M",0.6,1,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"S66",2017,2017-08-18,"Slimy",14.4,35.9,NA,4,"F",1.6,0.8,NA,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
"S7",2017,2017-07-25,"Slimy",12.2,23.8,NA,3,"M",0.9,0.1,NA,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"S74",2017,2017-08-21,"Slimy",17.2,59.7,NA,2,"M",1.1,1.6,NA,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
"S84",2017,2017-08-22,"Slimy",15.5,52.8,NA,3,"F",2.3,1.6,NA,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0
"S85",2017,2017-08-22,"Slimy",16,50.5,NA,1,"F",1.7,1.1,NA,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"S86",2017,2017-08-22,"Slimy",21.5,107.3,NA,4,"F",2.1,1,NA,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
"S87",2017,2017-08-23,"Slimy",19.9,116.3,NA,4,"F",6.5,8,NA,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
"S89",2017,2017-08-27,"Slimy",13.5,35,NA,5,"M",0.8,0.5,NA,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
"S90",2017,2017-08-27,"Slimy",14.5,43,NA,3,"M",1.3,0.2,NA,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0
"SSM059",2018,2018-09-06,"Fourhorn",24.6,139.9,2.486,3,"F",8.5,11.5,0.3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
"SSM045",2018,2018-08-26,"Fourhorn",27.1,224.4,0.664,2,"F",16.2,21,0.6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SSM005a",2018,2018-08-01,"Slimy",22,70,0.041,2,"F",2.1,2.7,NA,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"SSM034",2018,2018-08-20,"Fourhorn",25.9,177.8,4.514,4,"M",8.4,8.2,0.6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"SSM044",2018,2018-08-26,"Slimy",11.4,20.3,0.19,2,"F",0.6,0.2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM052",2018,2018-09-02,"Fourhorn",18.8,47.5,0.386,2,"M",1,2.9,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM054",2018,2018-09-03,"Fourhorn",18.7,57.3,1.257,3,"F",1.9,1.3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"SSM022",2018,2018-08-09,"Fourhorn",16.4,36.4,2.58,5,"M",0.7,1.3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM035",2018,2018-08-20,"Fourhorn",19.5,66,6.645,5,"M",2.2,2.1,0.1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"SSM053",2018,2018-09-03,"Fourhorn",23.8,133.4,1.811,3,"M",7.6,7.3,0.2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM030",2018,2018-08-14,"Fourhorn",16,32.5,0.087,2,"F",0.8,0.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SSM006",2018,2018-08-03,"Fourhorn",18.8,50,0.751,2,"F",1.6,2.7,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"SSM023",2018,2018-08-09,"Fourhorn",14.8,25.6,0.315,3,"M",0.3,0.1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SSM016",2018,2018-08-08,"Fourhorn",19.4,29.9,0.285,2,"M",0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"SSM048",2018,2018-08-30,"Fourhorn",24.5,126.8,0.965,2,"M",4.7,4.4,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM057",2018,2018-09-04,"Fourhorn",19,74.6,4.28,5,"F",4.3,5.7,0.2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"SSM005b",2018,2018-08-02,"Fourhorn",24,130,0.094,2,"F",2.6,4.4,0.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SSM046",2018,2018-08-28,"Fourhorn",27,237.5,15.738,5,"F",15.7,16.6,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM031",2018,2018-08-20,"Fourhorn",20.2,90.3,5.507,5,"M",3.2,2.8,0.2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"SSM007",2018,2018-08-04,"Fourhorn",25.6,220,19.563,5,"F",11.6,9.7,0.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"SSM036",2018,2018-08-20,"Fourhorn",15.4,29.6,3.117,4,"F",0.9,0.3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"SSM027",2018,2018-08-10,"Fourhorn",18,54.7,2.98,4,"F",1.6,2.4,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
"SSM020",2018,2018-08-09,"Fourhorn",16,47.7,0.306,2,"M",0.6,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM012",2018,2018-08-08,"Slimy",NA,NA,0.054,2,"F",1,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM019",2018,2018-08-09,"Fourhorn",14,23.1,1.822,3,"F",0.9,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"SSM014",2018,2018-08-08,"Fourhorn",28,51.3,0.738,2,"F",5.5,4.3,0.4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SSM055",2018,2018-09-04,"Fourhorn",28.2,282.2,13.219,4,"F",18,25.9,0.7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM037",2018,2018-08-21,"Fourhorn",26.2,181.5,6.771,4,"M",3.9,3.2,0.6,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"SSM056",2018,2018-09-04,"Fourhorn",25.8,196.2,2.453,3,"F",11,14.7,0.4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"SSM041",2018,2018-08-26,"Fourhorn",20.8,94.9,4.041,4,"M",4.3,5.4,0.2,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"SSM024b",2018,2018-08-10,"Fourhorn",24.8,92.8,1.783,3,"M",4.2,4,0.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"SSM026",2018,2018-08-10,"Fourhorn",28.8,212.5,3.267,3,"F",12.9,12.7,0.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM038",2018,2018-08-21,"Slimy",13.8,20.7,0.833,4,"M",0.5,0.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM047",2018,2018-08-30,"Fourhorn",25.9,163.2,0.857,2,"F",11.5,16.4,0.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM032",2018,2018-08-20,"Fourhorn",25.2,197.1,12.521,5,"M",6.8,8.9,0.4,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0
"SSM021",2018,2018-08-09,"Fourhorn",17,38.2,1.813,4,"F",0.8,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SSM039",2018,2018-08-21,"Slimy",15.4,56.2,2.751,4,"F",2.3,2.6,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
"SSM025",2018,2018-08-10,"Fourhorn",20.1,58.3,0.84,3,"M",1.2,3.6,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"SSM040",2018,2018-08-21,"Fourhorn",20.8,80.3,1.937,3,"F",3.5,3.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"SSM009",2018,2018-08-07,"Fourhorn",21.2,110,1.107,3,"F",7.3,5,0.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
