"Fish_ID","Date","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Year","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"FH24",2017-07-25,"Fourhorn",13.9,22.3,"M",NA,1,"2017",0.3,0.2,NA
"S7",2017-07-25,"Slimy",12.2,23.8,"M",NA,3,"2017",0.9,0.1,NA
"FH266",2017-08-25,"Fourhorn",21.5,79,"M",NA,3,"2017",1.6,1.9,NA
"S5",2017-08-25,"Slimy",14.5,43.7,"M",NA,4,"2017",1.1,0.4,NA
"FH26",2017-07-26,"Fourhorn",16.2,44.6,"M",NA,3,"2017",1,0.4,NA
"S12",2017-07-26,"Slimy",15.2,52.1,"M",NA,3,"2017",2,1.1,NA
"S89",2017-08-27,"Slimy",13.5,35,"M",NA,5,"2017",0.8,0.5,NA
"S90",2017-08-27,"Slimy",14.5,43,"M",NA,3,"2017",1.3,0.2,NA
"FH141",2017-08-09,"Fourhorn",17.5,48.4,"Unknown",NA,3,"2017",0.7,0.8,NA
"FH267",2017-08-25,"Fourhorn",16.4,31.7,"Unknown",NA,5,"2017",0.5,0.4,NA
"FH93",2017-08-05,"Fourhorn",9.4,5.9,NA,NA,3,"2017",0.2,NA,NA
"FH269",2017-08-26,"Fourhorn",17.4,57.3,NA,NA,5,"2017",1.1,0.3,NA
"SSM001",2018-07-31,"Slimy",16.9,50,"F",0,1,"2018",0.9,0.8,NA
"SSM002",2018-07-31,"Fourhorn",26.1,100,"F",3.468,3,"2018",6.9,7.1,0.2
"SSM003",2018-07-31,"Fourhorn",27.1,200,"F",0,1,"2018",9.7,8.7,0.5
"SSM004",2018-07-31,"Fourhorn",27.5,150,"F",5.187,3,"2018",7.7,6.7,0.2
"SSM005a",2018-08-01,"Slimy",22,70,"F",0.041,2,"2018",2.1,2.7,NA
"SSM005b",2018-08-02,"Fourhorn",24,130,"F",0.094,2,"2018",2.6,4.4,0.3
"SSM006",2018-08-03,"Fourhorn",18.8,50,"F",0.751,2,"2018",1.6,2.7,0
"SSM007",2018-08-04,"Fourhorn",25.6,220,"F",19.563,5,"2018",11.6,9.7,0.4
"SSM008",2018-08-07,"Fourhorn",24.4,150,"F",0.846,2,"2018",7,6.4,0.3
"SSM009",2018-08-07,"Fourhorn",21.2,110,"F",1.107,3,"2018",7.3,5,0.2
"SSM010",2018-08-07,"Slimy",12.2,12.8,"F",0,1,"2018",0.3,0.1,0
"SSM011",2018-08-07,"Fourhorn",14,31.3,"F",0,1,"2018",0.7,0.9,0
"SSM012",2018-08-08,"Slimy",NA,NA,"F",0.054,2,"2018",1,0.4,0
"SSM013",2018-08-08,"Fourhorn",30,35.1,"F",0.471,3,"2018",0.7,1.1,0
"SSM014",2018-08-08,"Fourhorn",28,51.3,"F",0.738,2,"2018",5.5,4.3,0.4
"SSM015",2018-08-08,"Fourhorn",26,100,"F",2.838,3,"2018",4.8,4.6,0.3
"SSM016",2018-08-08,"Fourhorn",19.4,29.9,"M",0.285,2,"2018",0.4,0.4,0
"SSM017",2018-08-08,"Fourhorn",25,100,"F",2.336,3,"2018",3.4,4.1,0.4
"SSM018",2018-08-09,"Fourhorn",25.6,167.6,"F",1.475,2,"2018",8.3,9.3,0.3
"SSM019",2018-08-09,"Fourhorn",14,23.1,"F",1.822,3,"2018",0.9,0.2,0
"SSM020",2018-08-09,"Fourhorn",16,47.7,"M",0.306,2,"2018",0.6,1.3,0
"SSM021",2018-08-09,"Fourhorn",17,38.2,"F",1.813,4,"2018",0.8,1,0
"SSM022",2018-08-09,"Fourhorn",16.4,36.4,"M",2.58,5,"2018",0.7,1.3,0
"SSM023",2018-08-09,"Fourhorn",14.8,25.6,"M",0.315,3,"2018",0.3,0.1,0
"SSM024a",2018-08-09,"Fourhorn",11.8,13.9,"M",1.296,5,"2018",0.4,0.6,0
"SSM024b",2018-08-10,"Fourhorn",24.8,92.8,"M",1.783,3,"2018",4.2,4,0.4
"SSM025",2018-08-10,"Fourhorn",20.1,58.3,"M",0.84,3,"2018",1.2,3.6,0.1
"SSM026",2018-08-10,"Fourhorn",28.8,212.5,"F",3.267,3,"2018",12.9,12.7,0.4
"SSM027",2018-08-10,"Fourhorn",18,54.7,"F",2.98,4,"2018",1.6,2.4,0
"SSM028",2018-08-11,"Fourhorn",5.5,2,"Unknown",0,1,"2018",0,NA,0
"SSM029",2018-08-14,"Fourhorn",26,172.7,"F",0,1,"2018",11.1,10.6,0.6
"SSM030",2018-08-14,"Fourhorn",16,32.5,"F",0.087,2,"2018",0.8,0.5,0
"SSM031",2018-08-20,"Fourhorn",20.2,90.3,"M",5.507,5,"2018",3.2,2.8,0.2
"SSM032",2018-08-20,"Fourhorn",25.2,197.1,"M",12.521,5,"2018",6.8,8.9,0.4
"SSM033",2018-08-20,"Fourhorn",20.4,65.7,"F",4.391,4,"2018",1.9,1.3,0.1
"SSM034",2018-08-20,"Fourhorn",25.9,177.8,"M",4.514,4,"2018",8.4,8.2,0.6
"SSM035",2018-08-20,"Fourhorn",19.5,66,"M",6.645,5,"2018",2.2,2.1,0.1
"SSM036",2018-08-20,"Fourhorn",15.4,29.6,"F",3.117,4,"2018",0.9,0.3,0
"SSM037",2018-08-21,"Fourhorn",26.2,181.5,"M",6.771,4,"2018",3.9,3.2,0.6
"SSM038",2018-08-21,"Slimy",13.8,20.7,"M",0.833,4,"2018",0.5,0.3,0
"SSM039",2018-08-21,"Slimy",15.4,56.2,"F",2.751,4,"2018",2.3,2.6,0
"SSM040",2018-08-21,"Fourhorn",20.8,80.3,"F",1.937,3,"2018",3.5,3.6,0
"SSM041",2018-08-26,"Fourhorn",20.8,94.9,"M",4.041,4,"2018",4.3,5.4,0.2
"SSM042",2018-08-26,"Fourhorn",22.2,104.4,"M",0,1,"2018",3.3,5.5,0.2
"SSM043",2018-08-26,"Slimy",17.9,82.3,"F",0.325,2,"2018",4.7,4.5,0
"SSM044",2018-08-26,"Slimy",11.4,20.3,"F",0.19,2,"2018",0.6,0.2,0
