"Fish_ID","Year","Date","Content","Category","Count","Mass","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"FH225",2017,2017-08-17,"red amphipod","Amphipod",3,NA,"Fourhorn",14,23.6,"F",NA,3,0.6,NA,NA
"FH232",2017,2017-08-18,"arctic cod","Fish",1,NA,"Fourhorn",28.1,278.4,"F",NA,3,17.8,24.5,NA
"FH232",2017,2017-08-18,"onisimus litoralis","Onisimus sp.",1,NA,"Fourhorn",28.1,278.4,"F",NA,3,17.8,24.5,NA
"FH232",2017,2017-08-18,"fish fry","Fish",2,NA,"Fourhorn",28.1,278.4,"F",NA,3,17.8,24.5,NA
"FH232",2017,2017-08-18,"unidentified digesta","Digested",NA,6.3,"Fourhorn",28.1,278.4,"F",NA,3,17.8,24.5,NA
"FH233",2017,2017-08-19,"red amphipods","Amphipod",3,NA,"Fourhorn",21.8,92.6,"M",NA,2,1.3,5,NA
"FH234",2017,2017-08-19,"onisimata litoralis","Onisimus sp.",4,NA,"Fourhorn",27.5,212.2,"F",NA,2,10.5,15.4,NA
"FH234",2017,2017-08-19,"red amphipods","Amphipod",6,NA,"Fourhorn",27.5,212.2,"F",NA,2,10.5,15.4,NA
"FH234",2017,2017-08-19,"fish eyes","Fish",9,NA,"Fourhorn",27.5,212.2,"F",NA,2,10.5,15.4,NA
"FH234",2017,2017-08-19,"copepod","Copepod",1,NA,"Fourhorn",27.5,212.2,"F",NA,2,10.5,15.4,NA
"FH234",2017,2017-08-19,"fish larvae","Fish",2,NA,"Fourhorn",27.5,212.2,"F",NA,2,10.5,15.4,NA
"FH235",2017,2017-08-19,"giant chironimid","Chironomid",1,NA,"Fourhorn",18.3,60.3,"M",NA,4,0.8,2.6,NA
"FH235",2017,2017-08-19,"onisimata litoralois","Onisimus sp.",2,NA,"Fourhorn",18.3,60.3,"M",NA,4,0.8,2.6,NA
"FH235",2017,2017-08-19,"mysids","Mysid",120,3.1,"Fourhorn",18.3,60.3,"M",NA,4,0.8,2.6,NA
"FH236",2017,2017-08-19,"onisimata litoralis","Onisimus sp.",8,NA,"Fourhorn",23.3,93.3,"M",NA,3,1.9,4.4,NA
"FH236",2017,2017-08-19,"chironomid","Chironomid",1,NA,"Fourhorn",23.3,93.3,"M",NA,3,1.9,4.4,NA
"FH236",2017,2017-08-19,"krill","Krill",6,NA,"Fourhorn",23.3,93.3,"M",NA,3,1.9,4.4,NA
"FH236",2017,2017-08-19,"red amphipod","Amphipod",1,NA,"Fourhorn",23.3,93.3,"M",NA,3,1.9,4.4,NA
"FH236",2017,2017-08-19,"gammarid","Gammarus sp.",1,NA,"Fourhorn",23.3,93.3,"M",NA,3,1.9,4.4,NA
"FH236",2017,2017-08-19,"mysid","Mysid",40,NA,"Fourhorn",23.3,93.3,"M",NA,3,1.9,4.4,NA
"FH237",2017,2017-08-19,"red amphipod","Amphipod",1,NA,"Fourhorn",24,103.9,"F",NA,2,4.3,4.3,NA
"FH237",2017,2017-08-19,"fish larvae","Fish",1,NA,"Fourhorn",24,103.9,"F",NA,2,4.3,4.3,NA
"FH237",2017,2017-08-19,"onisimata litoralis","Onisimus sp.",3,NA,"Fourhorn",24,103.9,"F",NA,2,4.3,4.3,NA
"FH24",2017,2017-07-25,"gammarus or onisimus","Amphipod",1,NA,"Fourhorn",13.9,22.3,"M",NA,1,0.3,0.2,NA
"FH24",2017,2017-07-25,"krill","Krill",1,NA,"Fourhorn",13.9,22.3,"M",NA,1,0.3,0.2,NA
"FH24",2017,2017-07-25,"shrimp","Mysid",3,NA,"Fourhorn",13.9,22.3,"M",NA,1,0.3,0.2,NA
