Fish_ID,Year,Date,Content,Category,Count,Mass,Species,TL_mm,Mass_g,Sex,Diet_Mass_g,GutFullness,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g
FH224,2017,8/17/17,onisimus litoralis,Onisimus sp.,3,NA,Fourhorn,17.9,49.9,F,NA,4,1.1,0.9,NA
FH224,2017,8/17/17,mysids,Mysid,50,NA,Fourhorn,17.9,49.9,F,NA,4,1.1,0.9,NA
FH224,2017,8/17/17,krill,Krill,1,NA,Fourhorn,17.9,49.9,F,NA,4,1.1,0.9,NA
FH224,2017,8/17/17,red amphipod,Amphipod,5,NA,Fourhorn,17.9,49.9,F,NA,4,1.1,0.9,NA
FH224,2017,8/17/17,unidentified digesta,Digested,NA,NA,Fourhorn,17.9,49.9,F,NA,4,1.1,0.9,NA
FH225,2017,8/17/17,krill,Krill,8,NA,Fourhorn,14,23.6,F,NA,3,0.6,NA,NA
FH225,2017,8/17/17,mysid,Mysid,2,NA,Fourhorn,14,23.6,F,NA,3,0.6,NA,NA
FH225,2017,8/17/17,red amphipod,Amphipod,3,NA,Fourhorn,14,23.6,F,NA,3,0.6,NA,NA
FH232,2017,8/18/17,arctic cod,Fish,1,NA,Fourhorn,28.1,278.4,F,NA,3,17.8,24.5,NA
FH232,2017,8/18/17,onisimus litoralis,Onisimus sp.,1,NA,Fourhorn,28.1,278.4,F,NA,3,17.8,24.5,NA
FH232,2017,8/18/17,fish fry,Fish,2,NA,Fourhorn,28.1,278.4,F,NA,3,17.8,24.5,NA
FH232,2017,8/18/17,unidentified digesta,Digested,NA,6.3,Fourhorn,28.1,278.4,F,NA,3,17.8,24.5,NA
FH233,2017,8/19/17,red amphipods,Amphipod,3,NA,Fourhorn,21.8,92.6,M,NA,2,1.3,5,NA
FH234,2017,8/19/17,onisimata litoralis,Onisimus sp.,4,NA,Fourhorn,27.5,212.2,F,NA,2,10.5,15.4,NA
FH234,2017,8/19/17,red amphipods,Amphipod,6,NA,Fourhorn,27.5,212.2,F,NA,2,10.5,15.4,NA
FH234,2017,8/19/17,fish eyes,Fish,9,NA,Fourhorn,27.5,212.2,F,NA,2,10.5,15.4,NA
FH234,2017,8/19/17,copepod,Copepod,1,NA,Fourhorn,27.5,212.2,F,NA,2,10.5,15.4,NA
FH234,2017,8/19/17,fish larvae,Fish,2,NA,Fourhorn,27.5,212.2,F,NA,2,10.5,15.4,NA
FH235,2017,8/19/17,giant chironimid,Chironomid,1,NA,Fourhorn,18.3,60.3,M,NA,4,0.8,2.6,NA
FH235,2017,8/19/17,onisimata litoralois,Onisimus sp.,2,NA,Fourhorn,18.3,60.3,M,NA,4,0.8,2.6,NA
FH235,2017,8/19/17,mysids,Mysid,120,3.1,Fourhorn,18.3,60.3,M,NA,4,0.8,2.6,NA
FH236,2017,8/19/17,onisimata litoralis,Onisimus sp.,8,NA,Fourhorn,23.3,93.3,M,NA,3,1.9,4.4,NA
FH236,2017,8/19/17,chironomid,Chironomid,1,NA,Fourhorn,23.3,93.3,M,NA,3,1.9,4.4,NA
FH236,2017,8/19/17,krill,Krill,6,NA,Fourhorn,23.3,93.3,M,NA,3,1.9,4.4,NA
FH236,2017,8/19/17,red amphipod,Amphipod,1,NA,Fourhorn,23.3,93.3,M,NA,3,1.9,4.4,NA
FH236,2017,8/19/17,gammarid,Gammarus sp.,1,NA,Fourhorn,23.3,93.3,M,NA,3,1.9,4.4,NA
FH236,2017,8/19/17,mysid,Mysid,40,NA,Fourhorn,23.3,93.3,M,NA,3,1.9,4.4,NA
FH237,2017,8/19/17,red amphipod,Amphipod,1,NA,Fourhorn,24,103.9,F,NA,2,4.3,4.3,NA
FH237,2017,8/19/17,fish larvae,Fish,1,NA,Fourhorn,24,103.9,F,NA,2,4.3,4.3,NA
FH237,2017,8/19/17,onisimata litoralis,Onisimus sp.,3,NA,Fourhorn,24,103.9,F,NA,2,4.3,4.3,NA
FH24,2017,7/25/17,gammarus or onisimus,Amphipod,1,NA,Fourhorn,13.9,22.3,M,NA,1,0.3,0.2,NA
FH24,2017,7/25/17,krill,Krill,1,NA,Fourhorn,13.9,22.3,M,NA,1,0.3,0.2,NA
FH24,2017,7/25/17,shrimp,Mysid,3,NA,Fourhorn,13.9,22.3,M,NA,1,0.3,0.2,NA
FH249,2017,8/21/17,onisimus litoralis,Onisimus sp.,7,NA,Fourhorn,26.4,192.1,F,NA,3,15.4,18.9,NA
FH249,2017,8/21/17,copepod,Copepod,1,NA,Fourhorn,26.4,192.1,F,NA,3,15.4,18.9,NA
FH251,2017,8/21/17,gammarid,Gammarus sp.,3,NA,Fourhorn,14,26,M,NA,4,0.4,0.1,NA
FH251,2017,8/21/17,krill,Krill,2,NA,Fourhorn,14,26,M,NA,4,0.4,0.1,NA
FH257,2017,8/24/17,gammarid,Gammarus sp.,2,NA,Fourhorn,11.5,12,M,NA,4,0.6,0.8,NA
FH257,2017,8/24/17,sand lices,Copepod,3,NA,Fourhorn,11.5,12,M,NA,4,0.6,0.8,NA
FH258,2017,8/24/17,fish larvae,Fish,3,NA,Fourhorn,7,5,F,NA,5,0.5,NA,NA
FH258,2017,8/24/17,onisimata litoralois,Onisimus sp.,1,NA,Fourhorn,7,5,F,NA,5,0.5,NA,NA
FH26,2017,7/26/17,gammarus or onisimus,Amphipod,40,NA,Fourhorn,16.2,44.6,M,NA,3,1,0.4,NA
FH26,2017,7/26/17,krill,Krill,5,NA,Fourhorn,16.2,44.6,M,NA,3,1,0.4,NA
FH264,2017,8/24/17,copepods,Copepod,10,NA,Fourhorn,13,20,M,NA,3,0.7,0.1,NA
FH265,2017,8/24/17,copepods,Copepod,3,NA,Fourhorn,12,15,M,NA,2,0.5,NA,NA
FH266,2017,8/25/17,red copepods,Copepod,6,NA,Fourhorn,21.5,79,M,NA,3,1.6,1.9,NA
FH266,2017,8/25/17,copepods,Copepod,7,NA,Fourhorn,21.5,79,M,NA,3,1.6,1.9,NA
FH266,2017,8/25/17,rock,Undigestible,1,NA,Fourhorn,21.5,79,M,NA,3,1.6,1.9,NA
FH267,2017,8/25/17,check the book,Digested,NA,NA,Fourhorn,16.4,31.7,Unknown,NA,5,0.5,0.4,NA
FH269,2017,8/26/17,krill,Krill,15,NA,Fourhorn,17.4,57.3,NA,NA,5,1.1,0.3,NA
FH27,2017,7/26/17,gammarus or onisimus,Amphipod,18,NA,Fourhorn,27,218.6,F,NA,2,12.3,8.1,NA
FH27,2017,7/26/17,rock,Undigestible,1,NA,Fourhorn,27,218.6,F,NA,2,12.3,8.1,NA
FH27,2017,7/26/17,leaves,Algae,NA,NA,Fourhorn,27,218.6,F,NA,2,12.3,8.1,NA
FH278,2017,8/29/17,shrimps,Mysid,24,NA,Fourhorn,30,400,F,NA,5,27.7,26.7,NA
FH278,2017,8/29/17,fish fry eyes,Fish,NA,NA,Fourhorn,30,400,F,NA,5,27.7,26.7,NA
FH278,2017,8/29/17,krills,Krill,NA,NA,Fourhorn,30,400,F,NA,5,27.7,26.7,NA
FH28,2017,7/26/17,gammarus or onisimus,Amphipod,30,NA,Fourhorn,25.4,175,F,NA,3,9.5,9.6,NA
FH28,2017,7/26/17,krill,Krill,1,NA,Fourhorn,25.4,175,F,NA,3,9.5,9.6,NA
FH28,2017,7/26/17,gammaracanthus sp.,Gammaracanthus sp.,3,NA,Fourhorn,25.4,175,F,NA,3,9.5,9.6,NA
FH315,2017,9/3/17,krills,Krill,400,NA,Fourhorn,18.2,64.6,F,NA,5,1.6,0.9,NA
FH315,2017,9/3/17,fish frye,Fish,1,NA,Fourhorn,18.2,64.6,F,NA,5,1.6,0.9,NA
FH315,2017,9/3/17,amphipods,Amphipod,2,NA,Fourhorn,18.2,64.6,F,NA,5,1.6,0.9,NA
FH6,2017,7/23/17,gammarus or onisimus,Amphipod,NA,NA,Fourhorn,22,93,M,NA,5,NA,NA,NA
FH7,2017,7/23/17,gammarus or onisimus,Amphipod,NA,NA,Fourhorn,19,69,F,NA,5,NA,NA,NA
FH7,2017,7/23/17,eusirus or apherusa,Amphipod,NA,NA,Fourhorn,19,69,F,NA,5,NA,NA,NA
FH78,2017,8/2/17,krill,Krill,2,NA,Fourhorn,23.3,114.4,F,NA,2,5.7,3.6,NA
FH78,2017,8/2/17,gammarus or onisimus,Amphipod,3,NA,Fourhorn,23.3,114.4,F,NA,2,5.7,3.6,NA
FH78,2017,8/2/17,large chironomid larvae,Chironomid,3,NA,Fourhorn,23.3,114.4,F,NA,2,5.7,3.6,NA
FH79,2017,8/2/17,gammarus or onisimus,Amphipod,11,NA,Fourhorn,24,84.8,F,NA,3,3.4,3,NA
FH79,2017,8/2/17,krill,Krill,10,NA,Fourhorn,24,84.8,F,NA,3,3.4,3,NA
FH79,2017,8/2/17,large chironomid larvae,Chironomid,1,NA,Fourhorn,24,84.8,F,NA,3,3.4,3,NA
FH8,2017,7/23/17,gammarus or onisimus,Amphipod,NA,NA,Fourhorn,16.5,43,M,NA,4,NA,NA,NA
FH8,2017,7/23/17,digested,Digested,NA,NA,Fourhorn,16.5,43,M,NA,4,NA,NA,NA
FH80,2017,8/2/17,amphipods,Amphipod,NA,NA,Fourhorn,17.9,27.9,M,NA,2,0.6,0.1,NA
FH80,2017,8/2/17,grit,Digested,NA,NA,Fourhorn,17.9,27.9,M,NA,2,0.6,0.1,NA
FH81,2017,8/2/17,krill,Krill,37,NA,Fourhorn,18.8,33.7,M,NA,3,0.6,1.4,NA
FH82,2017,8/3/17,jellyfish,Jellyfish,6,NA,Fourhorn,29,277.2,F,NA,3,17.3,23,NA
